"mean";"2.5%";"25%";"50%";"75%";"97.5%";"Rhat";"mcse";"5%";"95%"
"(Intercept)";50.2776168317691;47.194444585163;49.2691602609535;50.3163845201816;51.2601840046731;53.4100149271606;1.00021843754526;0.0453740451193032;47.6996875679215;52.82521926341
"as.factor(treatment.adj)2_14/26";-9.57549803712712;-12.5439876057518;-10.5915111969276;-9.58606527509611;-8.54825487582946;-6.57425897169632;1.00023454719267;0.0321129766312725;-12.0855987249944;-7.09573499573993
"as.factor(treatment.adj)3_14/26d";-1.61323991564611;-4.76300058619584;-2.72270243910588;-1.59703188976037;-0.5038491817366;1.6010502637341;1.00098309454776;0.0342933491538402;-4.27874400526703;1.00943358865093
"as.factor(treatment.adj)4_26/14";-1.09907691389017;-4.72849780046419;-2.33102635313055;-1.11606435098519;0.0901368242319454;2.5156872128371;0.999811165326355;0.0362280684397693;-4.03935155058557;1.92249270741222
"as.factor(treatment.adj)5_14/22";1.25318737085641;-1.58738568428337;0.274033830075325;1.248205246036;2.20179823904028;4.22122962782242;1.00014705731159;0.0293661583528677;-1.10804377809592;3.69598530317217
"as.factor(treatment.adj)6_10/26";-15.2253621274131;-18.1612901818178;-16.1842505377145;-15.2171056810394;-14.2438507078941;-12.3220338533578;0.999891951638322;0.0322164121829979;-17.689185702099;-12.8078392541127
"b[(Intercept) Tree:1]";4.70314254934648;1.34764141975219;3.48929011756085;4.6323211963396;5.85019419153954;8.51318832139587;0.999441345110673;0.0427554358794832;1.82643912753402;7.82541041154969
"b[as.factor(treatment.adj)2_14/26 Tree:1]";-1.45903414296156;-6.1960019740255;-2.56576835108555;-1.16241537294575;-0.114609057653535;1.81394583678433;1.00033182748352;0.0341365513239626;-5.10746838940438;1.26850550739045
"b[as.factor(treatment.adj)3_14/26d Tree:1]";0.742466662506076;-3.43528546014293;-0.541089881764158;0.695367440667528;2.03983454626149;5.07683075533386;1.00277606213826;0.0360237183974116;-2.73172989202003;4.33416464650093
"b[as.factor(treatment.adj)4_26/14 Tree:1]";-0.39241065010277;-5.18977021400174;-1.81792975777118;-0.34489143857346;1.04530705913292;4.35390782100789;1.00036645040698;0.0378674041764998;-4.28508227375383;3.46268652817987
"b[as.factor(treatment.adj)5_14/22 Tree:1]";1.34587394783153;-2.44182698485627;0.13307869457331;1.23065201449054;2.50286740332053;5.5080452144634;1.00020864291852;0.0339724466825596;-1.64634803648018;4.68289693844884
"b[as.factor(treatment.adj)6_10/26 Tree:1]";0.226670549881674;-3.58886218905467;-0.880667740401483;0.184280359799501;1.38549449251852;4.22638779320681;1.00015922321597;0.0325599655481196;-2.81516847297977;3.37901934381719
"b[(Intercept) Tree:2]";3.06572947148062;-0.270206693737669;1.88490859924893;2.97431297519869;4.20325271790782;6.8456381064449;1.00176505787265;0.0473874876517341;0.265106968423633;6.03136497839257
"b[as.factor(treatment.adj)2_14/26 Tree:2]";-1.44338857913951;-5.97574119835375;-2.49070839748847;-1.1586867224981;-0.145228196738947;1.6929118759463;1.00182654674235;0.0393759027078353;-4.91037625824498;1.24693078968669
"b[as.factor(treatment.adj)3_14/26d Tree:2]";2.85019564970293;-1.08364881115298;1.14930979915848;2.51997474759218;4.32637548289868;8.47528457397278;1.00036190084348;0.0482090292563404;-0.543830768606696;7.25573817724943
"b[as.factor(treatment.adj)4_26/14 Tree:2]";0.0789343861805207;-4.66444720125169;-1.42114622162541;0.0136857957528553;1.52212970182513;5.23669042368217;1.0025207035167;0.0374462492150972;-3.74628836740457;4.10606519864669
"b[as.factor(treatment.adj)5_14/22 Tree:2]";0.764963949640628;-2.94577776842093;-0.410431090538302;0.73080885750581;1.93009548501102;4.56072025273233;0.999716808570059;0.0318078323614774;-2.29291929960012;3.83943074904539
"b[as.factor(treatment.adj)6_10/26 Tree:2]";-1.51805706128626;-6.05270556990303;-2.6624691399083;-1.32006028583982;-0.147830505800056;2.00756903018947;1.00131678746011;0.0385355423825127;-5.21345587269411;1.46958041370852
"b[(Intercept) Tree:3]";0.0306353535270575;-3.3951518043307;-1.09071337437228;0.0323721659179078;1.1612978411451;3.38728799119144;1.00077042530532;0.0437254542675876;-2.71071937210702;2.81645794055202
