"mean";"2.5%";"25%";"50%";"75%";"97.5%";"Rhat";"mcse";"5%";"95%"
"(Intercept)";37.3909246177517;33.8373805170959;36.2003658772084;37.3445975897664;38.545521784894;41.0765219043285;1.00009286816857;0.0613632137526796;34.4746063387791;40.3940588115575
"as.factor(treatment.adj)2_14/26";-5.21643303367959;-7.74197874681502;-6.05900397187251;-5.19605807357746;-4.38141080641027;-2.70441518790273;0.999577276004707;0.027453008574459;-7.25567576710285;-3.12996448969847
"as.factor(treatment.adj)3_14/26d";-5.19964196563915;-7.73514087629857;-6.03790256969966;-5.22477509698305;-4.34915807922131;-2.54535007888325;1.00095730101774;0.0274063801628268;-7.34896648783933;-3.08144010795231
"as.factor(treatment.adj)4_26/14";-2.79701156186397;-6.07332604872752;-3.89874925608552;-2.80679368188554;-1.70545693207285;0.541146423203534;0.999694175976149;0.0366855975294538;-5.50777692305211;-0.0845588223787497
"as.factor(treatment.adj)5_14/22";-1.54168142121124;-5.81254045565604;-2.88958287128927;-1.5250996307544;-0.208346258933224;2.58084350442104;1.000980747419;0.0483344345120924;-5.02462911253446;1.85794394795377
"as.factor(treatment.adj)6_10/26";-4.12655272851501;-8.01214421978406;-5.28356279173905;-4.1487610045851;-2.94461607573857;-0.301954895500231;0.999507828530898;0.0504273788818195;-7.29206124741462;-0.944611160354053
"b[(Intercept) Tree:1]";-1.03377847306504;-5.02489714451888;-2.35547982279177;-0.988719134435185;0.296684555577916;2.98663981488647;1.00237649468313;0.06465615917337;-4.44141284577793;2.37053050336523
"b[as.factor(treatment.adj)2_14/26 Tree:1]";-0.307031267021926;-3.62738653437548;-1.18893560098215;-0.19924688571142;0.599572202451386;2.61156391030251;1.00213041232711;0.037366596494711;-3.0152109767582;2.07210942620381
"b[as.factor(treatment.adj)3_14/26d Tree:1]";-1.41395637763097;-5.25922606785011;-2.45644990346729;-1.2279355125558;-0.210743997876044;1.59956363142238;1.00027822919689;0.0470460785370912;-4.49002563501241;1.13210093603957
"b[as.factor(treatment.adj)4_26/14 Tree:1]";2.82583091674586;-1.5963772165306;1.14303173625145;2.70219621790815;4.33567417690312;8.01392039758632;1.0012570354293;0.0523880987246023;-0.972020308033705;7.07952629469371
"b[as.factor(treatment.adj)5_14/22 Tree:1]";3.86553522533655;-1.54349037872555;1.9288698217309;3.79438758883954;5.74262775876601;9.65464289861406;0.999807560228598;0.0535193151968119;-0.813164532279228;8.68630996085471
"b[as.factor(treatment.adj)6_10/26 Tree:1]";-1.9538091759612;-7.23441908178696;-3.52212966296215;-1.83968624632768;-0.295016462073169;2.83017506053986;1.00082112876596;0.0616951931766581;-6.27797187937114;2.01012865873252
